fuel_type_cleaned,make_id,transmission_cleaned,number_of_speed,model_cleaned,model,id_model,code_model,version,engine,id_version,msrp_incl_tax,brand,country,date_extraction,trim,cluster_label,unique_engines,msrp_max,msrp_min,date_min,date_max,umap_dim1,umap_dim2,hp,kilowatts,wheel_drive,liter,seats,closest_cluster,similarity_score,llm_match,explanation,mean_price_per_cluster,price_similarity_score,is_match,closest_version,similarity_score_version,unified_id,num_versions,closest_id_version,closest_version_name,similarity_score_percent,num_versions_calculate_similarity_score_percentages,llm_match_version,explanation_version,num_versions_matching_validation_version,expert_validation,stage,msrp_incl_tax_min_match,msrp_incl_tax_max_match,msrp_incl_tax_min_match,msrp_incl_tax_max_match,num_versions_matching_df_final,num_versions_cluster_label_df,num_versions_number_of_clusters_f
ice_gasoline,sww5k7615cc004,manual,0,bayon,nuova bayon,4f75aada913371f499c2d355fdaf64e1f9c478c4d41a13fa27e9a1f302321331,italy|hyundai|nuova-bayon,nuova bayon xtech 1.2 mpi 79cv benzina manuale 2wd 5 seats,1.2 mpi 79cv benzina manuale 2wd 5 seats,02169830f60123df61cfde056c7a011bf891b9e874ae78129977531f254b48ef,21150.0,hyundai,italy,2024-08-02 00:00:00+00:00,xtech,1,"['1.2 mpi 79cv benzina manuale', '1.2 mpi 79cv benzina manuale 2wd 5 seats']",21150.0,21150.0,2024-08-02 00:00:00+00:00,2024-11-28 00:00:00+00:00,-18.904692,6.3864336,79.0,,2,1.2,5.0,NO,No valid cluster found (trim mismatch; model mismatch),,,21150.0,-1.0,NEW VERSION,NO VALID CLUSTER,-1.0,02169830f60123df61cfde056c7a011bf891b9e874ae78129977531f254b48ef,1,,,-100.0,1,,,1,reviewed,,21150.0,21150.0,21150.0,21150.0,1,1,1
mhev_diesel,gtw51jc5ugg1v4,auto,0,tucson,nuova tucson,6edd64f9178a993e7c4a8e5f10ee347ee889c0e7733debae13975e7937602b68,italy|hyundai|nuova-tucson,nuova tucson business 1.6 crdi 136cv 48v dct hybrid (diesel) automatico 2wd 5 seats,1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica 2wd 5 seats,0432b7ade46c9029c421354dcb8da8940eb0d762b00619e14828a941881c738f,38950.0,hyundai,italy,2024-08-02 00:00:00+00:00,business,2,"['1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica', '1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica 2wd 5 seats']",38950.0,38950.0,2024-08-02 00:00:00+00:00,2024-11-28 00:00:00+00:00,-0.34393382,-10.564321,136.0,,2,1.6,5.0,NO,No valid cluster found (trim mismatch; model mismatch; transmission mismatch; fuel mismatch),,,38950.0,-1.0,NEW VERSION,NO VALID CLUSTER,-1.0,0432b7ade46c9029c421354dcb8da8940eb0d762b00619e14828a941881c738f,1,,,-100.0,1,,,1,reviewed,,38950.0,38950.0,38950.0,38950.0,1,1,1
ev,als4zhz7zgg732,auto,0,Ioniq 6,ioniq 6,2d3415a6e9905e7358bb0ec2d0768a20471f1b7970350db1e1ef10a9ab7b4da9,italy|hyundai|ioniq-6,"ioniq 6 innovation 77,4 kwh electric automatico 2wd 5 seats","77,4 kwh electric automatica 2wd 5 seats",0480ff82f93c80be3d93b190a6cf02030c9a6856a6d3b4272aa2215d16c137c6,55400.0,hyundai,italy,2023-09-14 00:00:00+00:00,innovation,3,"['77,4 kwh', '77,4 kwh 2wd electric automatica', '77,4 kwh 2wd electric automatica 5 seats', '77,4 kwh electric automatica', '77,4 kwh electric automatica 2wd', '77,4 kwh electric automatica 2wd 5 seats']",55700.0,55400.0,2023-09-14 00:00:00+00:00,2024-11-28 00:00:00+00:00,-7.5162234,13.465801,,77.4,2,,5.0,179,0.05313058895801623,Yes,"Despite slight price variations within the first set of versions, all three versions represent the Hyundai Ioniq 6 Innovation trim with a 77.4 kWh electric motor, 2WD, automatic transmission, and 5 seats (where specified).  The core features defining the version are identical.",55668.96551724138,0.9951684836471755,TRUE,179,0.6200175978019039,0480ff82f93c80be3d93b190a6cf02030c9a6856a6d3b4272aa2215d16c137c6_8b3408f4ef5a5ef7566cf8aa331492c71ae7d154795b0c0fe22119c098375264,2,8b3408f4ef5a5ef7566cf8aa331492c71ae7d154795b0c0fe22119c098375264,"ioniq 6 innovation 77,4 kwh 2wd electric automatico",62.00175978019039,2,Yes,"Both versions represent the Hyundai Ioniq 6 Innovation trim with a 77.4 kWh electric motor, 2WD, and automatic transmission. The slight variations in the version name (inclusion of ""5 seats"" and minor wording differences in the engine description) do not signify a substantial difference in the car itself. The missing MSRP in the second version doesn't impact the core characteristics comparison.",2,reviewed, llm approval,55400.0,55700.0,55400.0,55700.0,2,2,2
ev,als4zhz7zgg277,auto,0,Ioniq 6,ioniq 6,2d3415a6e9905e7358bb0ec2d0768a20471f1b7970350db1e1ef10a9ab7b4da9,italy|hyundai|ioniq-6,"ioniq 6 innovation 77,4 kwh 2wd electric automatico","77,4 kwh 2wd",8b3408f4ef5a5ef7566cf8aa331492c71ae7d154795b0c0fe22119c098375264,55400.0,hyundai,italy,2022-12-02 00:00:00+00:00,innovation,179,"['77,4 kwh', '77,4 kwh 2wd']",55400.0,55400.0,2022-12-02 00:00:00+00:00,2023-10-26 00:00:00+00:00,-0.27011898,-2.7524555,,77.4,2,,,3,0.09503448307451814,Yes,"Both versions represent the Hyundai Ioniq 6 Innovation trim with a 77.4 kWh electric motor, 2WD, and automatic transmission.  The slight variations in the version name (inclusion of ""5 seats"" and minor wording differences in the engine description) do not signify a substantial difference in the car itself. The missing MSRP in the second version doesn't impact the core characteristics comparison.",55400.0,0.995145026764596,TRUE,3,0.6422316101152232,0480ff82f93c80be3d93b190a6cf02030c9a6856a6d3b4272aa2215d16c137c6_8b3408f4ef5a5ef7566cf8aa331492c71ae7d154795b0c0fe22119c098375264,2,0480ff82f93c80be3d93b190a6cf02030c9a6856a6d3b4272aa2215d16c137c6,"ioniq 6 innovation 77,4 kwh electric automatico 2wd 5 seats",64.22316101152232,2,Yes,"Both versions represent the Hyundai Ioniq 6 Innovation trim with a 77.4 kWh electric motor, 2WD, and automatic transmission. The slight variations in the version name (inclusion of ""5 seats"" and minor wording differences in the engine description) do not signify a substantial difference in the car itself. The missing MSRP in the second version doesn't impact the core characteristics comparison.",2,reviewed, llm approval,55400.0,55700.0,55400.0,55700.0,2,2,2
ice_gasoline,gqs6k2615dd366,manual,0,i10,nuova i10,e93bbdd96322eff74f992d45ca74c5654f7581ef6e4d9280683800dd771d6431,italy|hyundai|nuova-i10,nuova i10advanced1.0 mpi 5 mt 2wd,1.0 mpi 5 mt 2wd,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557,13900.0,hyundai,italy,2022-06-09 00:00:00+00:00,advanced,4,['1.0 mpi 5 mt 2wd'],14500.0,13900.0,2022-06-09 00:00:00+00:00,2022-09-22 00:00:00+00:00,0.45154294,-5.1359653,,,2,1.0,,340,0.11204074943838219,Yes,"Despite minor discrepancies in 'model' ('nuova i10' vs 'i10'/'nuova i10') and 'msrp_incl_tax' (present vs absent/varying values), the core features for comparison (fuel_type_cleaned, transmission_cleaned, model_cleaned, version, engine, and trim) are identical.  The differences in 'model' are negligible naming variations for the same car. The missing 'msrp_incl_tax' in the second set doesn't invalidate the match given the strong agreement on other key attributes.",14350.0,0.9194734804490903,TRUE,185,0.6795331531011077,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557_8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,3,8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,i10 advanced 1.0 mpi 5 mt 2wd benzina manuale,67.95331531011077,3,Yes,"The versions are identical in terms of fuel_type_cleaned, transmission_cleaned, model_cleaned, engine, and trim. The minor difference in the version name ('nuova i10advanced1.0 mpi 5 mt 2wd' vs 'i10 advanced 1.0 mpi 5 mt 2wd benzina manuale') is likely due to a refresh or minor update. The difference in MSRP and the missing data in the second set do not outweigh the strong agreement on the core attributes.",3,reviewed, llm approval,13900.0,15550.0,13900.0,15550.0,3,3,3
ice_gasoline,gqs6k2615dd368,manual,0,i10,i10,682b158d317e1df582bd311abc19a2b66eadd6a8bfba5eae86253f3803e5f6f6,italy|hyundai|i10,i10 advanced 1.0 mpi 5 mt 2wd benzina manuale,1.0 mpi 5 mt 2wd,8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,15150.0,hyundai,italy,2022-10-18 00:00:00+00:00,advanced,185,['1.0 mpi 5 mt 2wd'],15550.0,15150.0,2022-10-18 00:00:00+00:00,2023-02-16 00:00:00+00:00,11.41544,14.100901,,,2,1.0,,4,0.07592935487556911,Yes,"The key features for comparison (fuel_type_cleaned, transmission_cleaned, model_cleaned, engine, and trim) are identical. The versions are very similar, with the second set having a slightly more complete version name ('nuova i10advanced1.0 mpi 5 mt 2wd' vs 'i10 advanced 1.0 mpi 5 mt 2wd benzina manuale').  The minor model name variation ('i10' vs. 'nuova i10') is negligible and likely represents a refresh or minor update.  The differences in MSRP and the missing data in the second set do not outweigh the strong agreement on the core attributes.",15505.555555555555,0.9254747402364745,TRUE,4,0.5983002606933588,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557_8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,3,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557,nuova i10advanced1.0 mpi 5 mt 2wd,59.83002606933589,3,Yes,"The versions are identical in terms of fuel_type_cleaned, transmission_cleaned, model_cleaned, engine, and trim. The minor difference in the version name ('i10 advanced 1.0 mpi 5 mt 2wd benzina manuale' vs 'nuova i10advanced1.0 mpi 5 mt 2wd') is likely due to a refresh or minor update. The difference in MSRP and the missing data in the second set do not outweigh the strong agreement on the core attributes.",3,reviewed, llm approval,13900.0,15550.0,13900.0,15550.0,3,3,3
ice_gasoline,gqs6k2615dd286,manual,0,i10,nuova i10,e93bbdd96322eff74f992d45ca74c5654f7581ef6e4d9280683800dd771d6431,italy|hyundai|nuova-i10,nuova i10advanced1.0 mpi 5 mt 2wd,1.0 mpi 5 mt 2wd,d05d691e2608c61a6cadb1405d8dab7f77f574436e8bf089ebc71e44743d7119,14500.0,hyundai,italy,2022-07-14 00:00:00+00:00,advanced,279,['1.0 mpi 5 mt 2wd'],14500.0,14500.0,2022-07-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,1.5078937,-16.009945,,,2,1.0,,340,0.051619308834823366,Yes,"Both versions share the same key features: fuel_type_cleaned (ice_gasoline), transmission_cleaned (manual), model_cleaned (i10), version (nuova i10advanced1.0 mpi 5 mt 2wd), engine (1.0 mpi 5 mt 2wd), and trim (advanced).  The differences observed (msrp_incl_tax, number_of_speed, and liter) are not critical for version comparison and can be attributed to data variations or optional packages.  The core attributes defining the car version are identical.",14500.0,0.9896551724137931,TRUE,4,0.6143601570377247,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557_8e77213fab9154facf78e5dc6a24280f77a0bfce5eaa6eebb19b2a616513e70d,3,04b1f580c27a65962ebcfb437c1be8432fe3e2645af22889233440934c087557,nuova i10advanced1.0 mpi 5 mt 2wd,61.436015703772476,3,Yes,"Both versions share the same key features: fuel_type_cleaned (ice_gasoline), transmission_cleaned (manual), model_cleaned (i10), version (nuova i10advanced1.0 mpi 5 mt 2wd), engine (1.0 mpi 5 mt 2wd), and trim (advanced).  The differences observed (msrp_incl_tax, number_of_speed, and liter) are not critical for version comparison and can be attributed to data variations or optional packages.  The core attributes defining the car version are identical.",3,reviewed, llm approval,13900.0,15550.0,13900.0,15550.0,3,3,3
mhev_diesel,gtw51jc5ukk1va,auto,0,tucson,tucson,47973c90a328daa7c4de47a07c76525c1bc9e13f7549893b074be8570d215144,italy|hyundai|tucson,tucson xline 1.6 crdi 136cv 48v dct hybrid (diesel) automatico 2wd,1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica 2wd,053176d27ec28fff4849ace644ff564c91db0354bcefa572766a72c325eba005,37800.0,hyundai,italy,2022-09-01 00:00:00+00:00,xline,5,"['1.6 crdi 136cv 48v dct', '1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica', '1.6 crdi 136cv 48v dct hybrid 48v (diesel) automatica 2wd']",38750.0,37800.0,2022-09-01 00:00:00+00:00,2024-04-19 00:00:00+00:00,8.619997,-1.4910369,136.0,,2,1.6,,221,0.08365706489355984,Yes,"Despite slight variations in the `version` and `engine` names (likely due to more detailed descriptions in the first set), the core features like `fuel_type_cleaned`, `transmission_cleaned`, `model_cleaned`, and `trim` are identical. The horsepower (136hp) is consistent across all versions, further supporting a strong match. The minor naming differences in `version` and `engine` don't affect the fundamental vehicle characteristics.",38314.86486486487,0.9886976847086888,TRUE,221,0.6511576645540101,053176d27ec28fff4849ace644ff564c91db0354bcefa572766a72c325eba005_a3f54538c0ea97beb17e6875757d1eedb7b74cb26fdf3780ad81f1a6a7b70818,2,a3f54538c0ea97beb17e6875757d1eedb7b74cb26fdf3780ad81f1a6a7b70818,tucson xline 1.6 crdi 136cv 48v dct hybrid (diesel) automatico,65.11576645540102,2,Yes,"The `version` names differ slightly, but the core features (`fuel_type_cleaned`, `transmission_cleaned`, `model_cleaned`, `trim`, and `engine`) are identical. The horsepower (136hp) is also consistent. The minor difference in the `version` name is likely due to a more detailed description in the first dataset, but it doesn't affect the fundamental vehicle characteristics.",2,reviewed, llm approval,37500.0,38750.0,37500.0,38750.0,2,2,2
mhev_diesel,gtw51jc5ukk14g,auto,0,tucson,nuova tucson,6edd64f9178a993e7c4a8e5f10ee347ee889c0e7733debae13975e7937602b68,italy|hyundai|nuova-tucson,tucson xline 1.6 crdi 136cv 48v dct hybrid (diesel) automatico,1.6 crdi 136cv 48v dct,a3f54538c0ea97beb17e6875757d1eedb7b74cb26fdf3780ad81f1a6a7b70818,37500.0,hyundai,italy,2022-06-09 00:00:00+00:00,xline,221,['1.6 crdi 136cv 48v dct'],38300.0,37500.0,2022-06-09 00:00:00+00:00,2023-02-16 00:00:00+00:00,-1.4784473,-6.4922996,136.0,,,1.6,,5,0.043880628456745376,Yes,"The core features for comparison, namely `fuel_type_cleaned` (mhev_diesel), `transmission_cleaned` (auto), `model_cleaned` (tucson), and `trim` (xline) are identical. The engine is essentially the same (1.6 crdi 136cv 48v dct) with minor variations in description.  The horsepower (136hp) also matches.  The slight differences in the `version` and `engine` fields are likely due to more verbose descriptions in the first dataset but don't represent a difference in the fundamental vehicle.",37881.818181818184,0.9885684820890005,TRUE,5,0.6159272584519341,053176d27ec28fff4849ace644ff564c91db0354bcefa572766a72c325eba005_a3f54538c0ea97beb17e6875757d1eedb7b74cb26fdf3780ad81f1a6a7b70818,2,053176d27ec28fff4849ace644ff564c91db0354bcefa572766a72c325eba005,tucson xline 1.6 crdi 136cv 48v dct hybrid (diesel) automatico 2wd,61.59272584519341,2,Yes,"The versions are well-matched because all the core features (`fuel_type_cleaned`, `transmission_cleaned`, `model_cleaned`, `trim`, and `engine`) are identical. The horsepower is also consistent (136hp). The minor difference in the `version` name is likely due to a more detailed description in the first dataset, but it doesn't affect the fundamental vehicle characteristics.",2,reviewed, llm approval,37500.0,38750.0,37500.0,38750.0,2,2,2
ev,giw5zhz7zgg957,auto,0,ioniq 5,nuova ioniq 5,05b002dffe9019ff41d461b55dd87896305e5158e6b78baadca7412fe948d833,italy|hyundai|nuova-ioniq-5,ioniq 5 innovation 77.4 kwh rwd electric automatico,77.4 kwh rwd,056b7757a276af5080e87f2f889381345235b050dfb79a96ee684defd435d759,53500.0,hyundai,italy,2022-06-09 00:00:00+00:00,innovation,6,['77.4 kwh rwd'],55400.0,53500.0,2022-06-09 00:00:00+00:00,2023-07-13 00:00:00+00:00,-13.708421,5.2195168,,77.4,2,,,46,0.04377266635563741,Yes,"The fuel_type_cleaned, transmission_cleaned, model_cleaned, engine, and trim are identical. The versions are nearly identical, with the second set adding detail about drivetrain and seats (which are not present in the first set, so can't be compared).  The kilowatt information is present in the first set and missing in the second, but given the other strong matches, this doesn't invalidate the match. The price differs slightly across the three versions in the first set, but this is within the expected range for the same trim.",54824.0,0.9799028445277086,TRUE,46,0.7970438722200772,056b7757a276af5080e87f2f889381345235b050dfb79a96ee684defd435d759_27ab50efd2b228230f94b4c870120eab46ed9bca243cd746d697e657468e8ea3,2,27ab50efd2b228230f94b4c870120eab46ed9bca243cd746d697e657468e8ea3,ioniq 5 innovation 77.4 kwh rwd electric automatico 2wd 5 seats,79.70438722200772,2,Yes,"The fuel_type_cleaned, transmission_cleaned, model_cleaned, and trim are identical. The versions are nearly identical, with the first set adding detail about drivetrain and seats (which are not present in the second set, so can't be compared).  The kilowatt information is present in the first set and missing in the second, but given the other strong matches, this doesn't invalidate the match. The price differs slightly across the three versions in the first set, but this is within the expected range for the same trim.",2,reviewed, llm approval,53500.0,56100.0,53500.0,56100.0,2,2,2
